date,flow,FDCPercentile,calMonthlyFDCPercentile,day,waterYear,waterMonth,waterDay,waterWeek,ewrMeasureExceedance,ewrExceedance,ewrFlowBandNumber,ewrFlowBand
1924-11-14,141.5108199672211,0.996178451719655,0.99,319,1924,2,45,7,,0.98,5,Dry
1924-11-15,141.5108199672211,0.996178451719655,0.99,320,1924,2,46,7,,0.98,5,Dry
1924-11-16,147.26839478940352,0.9945805793124868,0.9858834401820402,321,1924,2,47,7,,0.98,5,Dry
1924-11-17,147.26839478940352,0.9945805793124868,0.9858834401820402,322,1924,2,48,7,,0.98,5,Dry
1924-11-18,147.26839478940352,0.9945805793124868,0.9858834401820402,323,1924,2,49,7,0.98,0.98,5,Dry
1924-11-19,155.7733022530981,0.9922202527198736,0.9794937130103462,324,1924,2,50,8,,0.98,5,Dry
1924-11-20,155.7733022530981,0.9922202527198736,0.9794937130103462,325,1924,2,51,8,,0.98,5,Dry
1924-11-21,158.27944712761152,0.9915247342304008,0.974898298913138,326,1924,2,52,8,,0.98,5,Dry
1924-11-22,164.87276110443864,0.9894194921967652,0.963586625415238,327,1924,2,53,8,,0.98,5,Dry
1924-11-23,166.28692278082374,0.9886726990699931,0.9612741381312437,328,1924,2,54,8,,0.98,5,Dry
1924-11-24,173.69054005715492,0.9847629830965345,0.9447561345596782,329,1924,2,55,8,,0.98,5,Dry
1924-11-25,173.69054005715492,0.9847629830965345,0.9447561345596782,330,1924,2,56,8,,0.98,5,Dry
1924-11-26,178.24119407222702,0.982359865265297,0.9360183669337293,331,1924,2,57,9,,0.98,5,Dry
1924-11-27,182.70994304697962,0.98,0.93,332,1924,2,58,9,,0.98,5,Dry
1924-11-28,191.55933856639643,0.9736362751895604,0.9066957871103252,333,1924,2,59,9,0.97,0.98,5,Dry
1924-11-29,191.55933856639643,0.9736362751895604,0.9066957871103252,334,1924,2,60,9,,0.98,5,Dry
1924-11-30,191.55933856639643,0.9736362751895604,0.9066957871103252,335,1924,2,61,9,,0.98,5,Dry
1924-12-01,195.26379229446485,0.9709723503998152,0.9966431729170634,336,1924,3,62,9,,0.97,5,Dry
1924-12-02,196.6159427295861,0.97,0.9959402512972984,337,1924,3,63,9,,0.97,5,Dry
1924-12-03,201.44597362677595,0.96,0.9934293375309143,338,1924,3,64,10,,0.97,5,Dry
1924-12-04,203.89821723625838,0.9497897154013977,0.9921545274171407,339,1924,3,65,10,,0.97,5,Dry
1924-12-05,223.3518526164988,0.92,0.9830402042231026,340,1924,3,66,10,,0.97,5,Dry
1924-12-06,242.391699236284,0.885911659966254,0.9658497233542838,341,1924,3,67,10,,0.97,5,Dry
1924-12-07,250.28337236434916,0.8753280469610728,0.9527732225997372,342,1924,3,68,10,,0.97,5,Dry
1924-12-08,250.28337236434916,0.8753280469610728,0.9527732225997372,343,1924,3,69,10,0.92,0.97,5,Dry
1924-12-09,246.51613596706648,0.88,0.96,344,1924,3,70,10,,0.97,5,Dry
1924-12-10,250.28337236434916,0.8753280469610728,0.9527732225997372,345,1924,3,71,11,,0.97,5,Dry
1924-12-11,259.36941771991155,0.8557925560616066,0.9357925560616066,346,1924,3,72,11,,0.92,5,Dry
1924-12-12,263.11415809696183,0.8469425225544561,0.9269425225544562,347,1924,3,73,11,,0.92,5,Dry
1924-12-13,265.9546773532155,0.84,0.92,348,1924,3,74,11,,0.92,5,Dry
1924-12-14,268.901049710804,0.8359862972275085,0.9118561593898219,349,1924,3,75,11,,0.92,5,Dry
1924-12-15,263.11415809696183,0.8469425225544561,0.9269425225544562,350,1924,3,76,11,,0.92,5,Dry
1924-12-16,265.9546773532155,0.84,0.92,351,1924,3,77,11,,0.92,5,Dry
1924-12-17,273.29546097521643,0.83,0.9043527016232215,352,1924,3,78,12,,0.92,5,Dry
1924-12-18,283.22183480614996,0.81,0.89,353,1924,3,79,12,0.94,0.92,5,Dry
1924-12-19,281.4649889839421,0.82,0.8924895283936186,354,1924,3,80,12,,0.92,5,Dry
1924-12-20,283.22183480614996,0.81,0.89,355,1924,3,81,12,,0.92,5,Dry
1924-12-21,281.4649889839421,0.82,0.8924895283936186,356,1924,3,82,12,,0.94,5,Dry
1924-12-22,281.4649889839421,0.82,0.8924895283936186,357,1924,3,83,12,,0.94,5,Dry
1924-12-23,281.4649889839421,0.82,0.8924895283936186,358,1924,3,84,12,,0.94,5,Dry
1924-12-24,283.22183480614996,0.81,0.89,359,1924,3,85,13,,0.94,5,Dry
1924-12-25,294.59680269954964,0.79210406546573,0.86,360,1924,3,86,13,,0.94,5,Dry
1924-12-26,305.93110950428735,0.7756498719925308,0.8374990330346765,361,1924,3,87,13,,0.94,5,Dry
1924-12-27,327.53531137661633,0.7447827457207707,0.78,362,1924,3,88,13,,0.94,5,Dry
1924-12-28,353.9854470549364,0.71,0.69,363,1924,3,89,13,0.92,0.94,5,Dry
1924-12-29,347.3225793197573,0.7164662040707783,0.72,364,1924,3,90,13,,0.94,5,Dry
1924-12-30,382.5955185449121,0.68,0.62,365,1924,3,91,13,,0.94,5,Dry
1924-12-31,446.5785846181075,0.61,0.39,366,1924,3,92,14,,0.94,5,Dry
1925-01-01,422.2116394365742,0.6355074575286846,0.95,1,1924,4,93,14,,0.92,5,Dry
1925-01-02,477.8107042925146,0.5830690426112638,0.87,2,1924,4,94,14,,0.92,5,Dry
1925-01-03,576.2093390100107,0.515596438368922,0.68,3,1924,4,95,14,,0.92,5,Dry
1925-01-04,588.3224296656455,0.51,0.66,4,1924,4,96,14,,0.92,5,Dry
1925-01-05,576.2093390100107,0.515596438368922,0.68,5,1924,4,97,14,,0.92,5,Dry
1925-01-06,531.2518452874355,0.54,0.76,6,1924,4,98,14,,0.92,5,Dry
1925-01-07,525.1218445721947,0.543499725573635,0.77,7,1924,4,99,15,,0.92,5,Dry
1925-01-08,531.2518452874355,0.54,0.76,8,1924,4,100,15,0.64,0.92,5,Dry
1925-01-09,542.6549481246924,0.5332805338687248,0.74,9,1924,4,101,15,,0.92,5,Dry
1925-01-10,548.2220965164462,0.53,0.73,10,1924,4,102,15,,0.92,5,Dry
1925-01-11,588.3224296656455,0.51,0.66,11,1924,4,103,15,,0.64,3,Normal
1925-01-12,593.0643481918721,0.5074538814508912,0.65,12,1924,4,104,15,,0.64,3,Normal
1925-01-13,619.7760781539125,0.4943500069769319,0.6,13,1924,4,105,15,,0.64,3,Normal
1925-01-14,648.4673831674933,0.4774918079533361,0.53,14,1924,4,106,16,,0.64,3,Normal
1925-01-15,631.8422747292525,0.48846871372501993,0.5755508132008414,15,1924,4,107,16,,0.64,3,Normal
1925-01-16,629.6537174892982,0.49,0.59,16,1924,4,108,16,,0.64,3,Normal
1925-01-17,629.6537174892982,0.49,0.59,17,1924,4,109,16,,0.64,3,Normal
1925-01-18,643.9459976181907,0.48,0.55,18,1924,4,110,16,0.5900000000000001,0.64,3,Normal
1925-01-19,667.6421410203268,0.4675683013148911,0.5,19,1924,4,111,16,,0.64,3,Normal
1925-01-20,648.4673831674933,0.4774918079533361,0.53,20,1924,4,112,16,,0.64,3,Normal
1925-01-21,648.4673831674933,0.4774918079533361,0.53,21,1924,4,113,17,,0.5900000000000001,3,Normal
1925-01-22,690.1825223078384,0.45809010817178214,0.46,22,1924,4,114,17,,0.5900000000000001,3,Normal
1925-01-23,745.3882225988765,0.4350347485740903,0.36700091465537965,23,1924,4,115,17,,0.5900000000000001,3,Normal
1925-01-24,797.8953188064405,0.41,0.29,24,1924,4,116,17,,0.5900000000000001,3,Normal
1925-01-25,982.0282013084473,0.3372575863519564,0.12,25,1924,4,117,17,,0.5900000000000001,3,Normal
1925-01-26,1164.1144079443343,0.2888975934582016,0.061385506437740586,26,1924,4,118,17,,0.5900000000000001,3,Normal
1925-01-27,1014.5386979229211,0.326036434767335,0.10136342527090471,27,1924,4,119,17,,0.5900000000000001,3,Normal
1925-01-28,1147.3120589078617,0.29318822436011843,0.0649262173981289,28,1924,4,120,18,0.12,0.5900000000000001,3,Normal
1925-01-29,1204.2845588525988,0.27891132433049837,0.0547451719841169,29,1924,4,121,18,,0.5900000000000001,3,Normal
1925-01-30,1123.1523461933543,0.29941164389161523,0.07001814629139103,30,1924,4,122,18,,0.5900000000000001,3,Normal
1925-01-31,1105.6843645513222,0.30243715753712397,0.0738737175082838,31,1924,4,123,18,,0.5900000000000001,3,Normal
1925-02-01,1126.8168270203344,0.2984676922055619,0.37446445249474564,32,1924,5,124,18,,0.12,2,Mod_Wet
1925-02-02,1245.6241254684805,0.2691015354072085,0.3,33,1924,5,125,18,,0.12,2,Mod_Wet
1925-02-03,1147.3120589078617,0.29318822436011843,0.36,34,1924,5,126,18,,0.12,2,Mod_Wet
1925-02-04,1155.331351858345,0.2911224951452646,0.35522727867807297,35,1924,5,127,19,,0.12,2,Mod_Wet
1925-02-05,1164.1144079443343,0.2888975934582016,0.35,36,1924,5,128,19,,0.12,2,Mod_Wet
1925-02-06,1204.2845588525988,0.27891132433049837,0.32139678648957715,37,1924,5,129,19,,0.12,2,Mod_Wet
1925-02-07,1187.0647888729118,0.2831805243249616,0.33372793220866187,38,1924,5,130,19,,0.12,2,Mod_Wet
1925-02-08,1175.3661790469923,0.2860947139127389,0.34,39,1924,5,131,19,0.24,0.12,2,Mod_Wet
1925-02-09,1175.3661790469923,0.2860947139127389,0.34,40,1924,5,132,19,,0.12,2,Mod_Wet
1925-02-10,1187.0647888729118,0.2831805243249616,0.33372793220866187,41,1924,5,133,19,,0.12,2,Mod_Wet
1925-02-11,1199.8325625536734,0.28,0.32512752429252745,42,1924,5,134,20,,0.24,2,Mod_Wet
1925-02-12,1187.0647888729118,0.2831805243249616,0.33372793220866187,43,1924,5,135,20,,0.24,2,Mod_Wet
1925-02-13,1175.3661790469923,0.2860947139127389,0.34,44,1924,5,136,20,,0.24,2,Mod_Wet
1925-02-14,1175.3661790469923,0.2860947139127389,0.34,45,1924,5,137,20,,0.24,2,Mod_Wet
1925-02-15,1175.3661790469923,0.2860947139127389,0.34,46,1924,5,138,20,,0.24,2,Mod_Wet
1925-02-16,1175.3661790469923,0.2860947139127389,0.34,47,1924,5,139,20,,0.24,2,Mod_Wet
1925-02-17,1164.1144079443343,0.2888975934582016,0.35,48,1924,5,140,20,,0.24,2,Mod_Wet
1925-02-18,1164.1144079443343,0.2888975934582016,0.35,49,1924,5,141,21,0.33999999999999997,0.24,2,Mod_Wet
1925-02-19,1175.3661790469923,0.2860947139127389,0.34,50,1924,5,142,21,,0.24,2,Mod_Wet
1925-02-20,1194.0180977046246,0.28144841593776837,0.33,51,1924,5,143,21,,0.24,2,Mod_Wet
1925-02-21,1240.7262503951906,0.27,0.3028349891944094,52,1924,5,144,21,,0.33999999999999997,2,Mod_Wet
1925-02-22,1240.7262503951906,0.27,0.3028349891944094,53,1924,5,145,21,,0.33999999999999997,2,Mod_Wet
1925-02-23,1240.7262503951906,0.27,0.3028349891944094,54,1924,5,146,21,,0.33999999999999997,2,Mod_Wet
1925-02-24,1249.7269809418144,0.26834890894839286,0.2973689500342846,55,1924,5,147,21,,0.33999999999999997,2,Mod_Wet
1925-02-25,1322.6741428848202,0.2537791820380675,0.265050544898361,56,1924,5,148,22,,0.33999999999999997,2,Mod_Wet
1925-02-26,1387.562890626167,0.24396001878850082,0.24805049559482423,57,1924,5,149,22,,0.33999999999999997,2,Mod_Wet
1925-02-27,1434.7436679228667,0.23820525520704863,0.23724045937986446,58,1924,5,150,22,,0.33999999999999997,2,Mod_Wet
1925-02-28,1419.1791515560512,0.24,0.240850665137692,59,1924,5,151,22,0.45999999999999996,0.33999999999999997,2,Mod_Wet
1925-03-01,1387.562890626167,0.24396001878850082,0.6743544952430948,60,1924,6,152,22,,0.45999999999999996,3,Normal
1925-03-02,1387.562890626167,0.24396001878850082,0.6743544952430948,61,1924,6,153,22,,0.45999999999999996,3,Normal
1925-03-03,1379.0021279352986,0.24503227654772536,0.6764061918224036,62,1924,6,154,22,,0.45999999999999996,3,Normal
1925-03-04,1364.0068604697406,0.24691047274030792,0.68,63,1924,6,155,23,,0.45999999999999996,3,Normal
1925-03-05,1364.0068604697406,0.24691047274030792,0.68,64,1924,6,156,23,,0.45999999999999996,3,Normal
1925-03-06,1364.0068604697406,0.24691047274030792,0.68,65,1924,6,157,23,,0.45999999999999996,3,Normal
1925-03-07,1364.0068604697406,0.24691047274030792,0.68,66,1924,6,158,23,,0.45999999999999996,3,Normal
1925-03-08,1419.1791515560512,0.24,0.6666008190572229,67,1924,6,159,23,0.62,0.45999999999999996,3,Normal
1925-03-09,1387.562890626167,0.24396001878850082,0.6743544952430948,68,1924,6,160,23,,0.45999999999999996,3,Normal
1925-03-10,1387.562890626167,0.24396001878850082,0.6743544952430948,69,1924,6,161,23,,0.45999999999999996,3,Normal
1925-03-11,1434.7436679228667,0.23820525520704863,0.6626663661621228,70,1924,6,162,24,,0.62,3,Normal
1925-03-12,1434.7436679228667,0.23820525520704863,0.6626663661621228,71,1924,6,163,24,,0.62,3,Normal
1925-03-13,1434.7436679228667,0.23820525520704863,0.6626663661621228,72,1924,6,164,24,,0.62,3,Normal
1925-03-14,1445.2916909585392,0.2369889623924793,0.66,73,1924,6,165,24,,0.62,3,Normal
1925-03-15,1475.2736487962222,0.23353174204309568,0.6522672243246846,74,1924,6,166,24,,0.62,3,Normal
1925-03-16,1491.9776575734118,0.2316056023502368,0.6480605152119318,75,1924,6,167,24,,0.62,3,Normal
1925-03-17,1513.1210745868766,0.2288937773995733,0.6428785014141036,76,1924,6,168,24,,0.62,3,Normal
1925-03-18,1552.0475291471107,0.2229289404874064,0.6317083617412109,77,1924,6,169,25,0.6799999999999999,0.62,3,Normal
1925-03-19,1600.4330382693197,0.21636395210554807,0.6212734735609087,78,1924,6,170,25,,0.62,3,Normal
1925-03-20,1669.2622008406313,0.20826939288066762,0.6085509993374738,79,1924,6,171,25,,0.62,3,Normal
1925-03-21,1838.9572615207444,0.19162803740604856,0.58,80,1924,6,172,25,,0.6799999999999999,3,Normal
1925-03-22,1930.281750221705,0.18254066406851016,0.5668593306905308,81,1924,6,173,25,,0.6799999999999999,3,Normal
1925-03-23,2122.0116415988978,0.1661041934345772,0.5252110267452642,82,1924,6,174,25,,0.6799999999999999,3,Normal
1925-03-24,2424.221558495055,0.13436538255667424,0.44,83,1924,6,175,25,,0.6799999999999999,3,Normal
1925-03-25,2680.303761580924,0.11100295259071513,0.37650176570281124,84,1924,6,176,26,,0.6799999999999999,3,Normal
1925-03-26,2964.505394324759,0.09071596429568593,0.32,85,1924,6,177,26,,0.6799999999999999,3,Normal
1925-03-27,3104.1420928961584,0.07845570155371537,0.2955164831313001,86,1924,6,178,26,,0.6799999999999999,3,Normal
1925-03-28,3219.4810822496747,0.07165285463100997,0.27225179219107937,87,1924,6,179,26,0.4,0.6799999999999999,3,Normal
1925-03-29,3405.024607871926,0.062456206713141164,0.24585211897083853,88,1924,6,180,26,,0.6799999999999999,3,Normal
1925-03-30,3456.3120822269,0.06,0.24034617240046083,89,1924,6,181,26,,0.6799999999999999,3,Normal
1925-03-31,3456.3120822269,0.06,0.24034617240046083,90,1924,6,182,26,,0.6799999999999999,3,Normal
1925-04-01,3405.024607871926,0.062456206713141164,0.33,91,1924,7,183,27,,0.4,3,Normal
1925-04-02,3405.024607871926,0.062456206713141164,0.33,92,1924,7,184,27,,0.4,3,Normal
1925-04-03,3366.3874109446756,0.06430657941453088,0.34186742951098464,93,1924,7,185,27,,0.4,3,Normal
1925-04-04,3284.307139576633,0.06823748293602751,0.3638312654524614,94,1924,7,186,27,,0.4,3,Normal
1925-04-05,3284.307139576633,0.06823748293602751,0.3638312654524614,95,1924,7,187,27,,0.4,3,Normal
1925-04-06,3258.007230073648,0.06949701101941755,0.37,96,1924,7,188,27,,0.4,3,Normal
1925-04-07,3219.4810822496747,0.07165285463100997,0.3837433583210827,97,1924,7,189,27,,0.4,3,Normal
1925-04-08,3176.816586549859,0.07416926330518932,0.3951397550403646,98,1924,7,190,28,0.41000000000000003,0.4,3,Normal
1925-04-09,3136.3572433491254,0.07655560915346254,0.4045019206606321,99,1924,7,191,28,,0.4,3,Normal
1925-04-10,3077.9592573747263,0.08,0.42,100,1924,7,192,28,,0.4,3,Normal
1925-04-11,3077.9592573747263,0.08,0.42,101,1924,7,193,28,,0.41000000000000003,3,Normal
1925-04-12,3032.431792987693,0.08440421460696697,0.45,102,1924,7,194,28,,0.41000000000000003,3,Normal
1925-04-13,3007.531476483443,0.08681300980658174,0.47,103,1924,7,195,28,,0.41000000000000003,3,Normal
1925-04-14,3007.531476483443,0.08681300980658174,0.47,104,1924,7,196,28,,0.41000000000000003,3,Normal
1925-04-15,3007.531476483443,0.08681300980658174,0.47,105,1924,7,197,29,,0.41000000000000003,3,Normal
1925-04-16,3007.531476483443,0.08681300980658174,0.47,106,1924,7,198,29,,0.41000000000000003,3,Normal
1925-04-17,3020.345475408447,0.08557341515752778,0.46,107,1924,7,199,29,,0.41000000000000003,3,Normal
1925-04-18,3136.3572433491254,0.07655560915346254,0.4045019206606321,108,1924,7,200,29,0.41000000000000003,0.41000000000000003,3,Normal
1925-04-19,3284.307139576633,0.06823748293602751,0.3638312654524614,109,1924,7,201,29,,0.41000000000000003,3,Normal
1925-04-20,3157.7702119051464,0.07529264380181691,0.3993893520994311,110,1924,7,202,29,,0.41000000000000003,3,Normal
1925-04-21,3157.7702119051464,0.07529264380181691,0.3993893520994311,111,1924,7,203,29,,0.41000000000000003,3,Normal
1925-04-22,3176.816586549859,0.07416926330518932,0.3951397550403646,112,1924,7,204,30,,0.41000000000000003,3,Normal
1925-04-23,3176.816586549859,0.07416926330518932,0.3951397550403646,113,1924,7,205,30,,0.41000000000000003,3,Normal
1925-04-24,3241.578264089134,0.07034953347032005,0.3761342428019305,114,1924,7,206,30,,0.41000000000000003,3,Normal
1925-04-25,3284.307139576633,0.06823748293602751,0.3638312654524614,115,1924,7,207,30,,0.41000000000000003,3,Normal
1925-04-26,3334.2041961767445,0.06584786467292243,0.35251621260123717,116,1924,7,208,30,,0.41000000000000003,3,Normal
1925-04-27,3366.3874109446756,0.06430657941453088,0.34186742951098464,117,1924,7,209,30,,0.41000000000000003,3,Normal
1925-04-28,3258.007230073648,0.06949701101941755,0.37,118,1924,7,210,30,0.31999999999999995,0.41000000000000003,3,Normal
1925-04-29,3219.4810822496747,0.07165285463100997,0.3837433583210827,119,1924,7,211,31,,0.41000000000000003,3,Normal
1925-04-30,3157.7702119051464,0.07529264380181691,0.3993893520994311,120,1924,7,212,31,,0.41000000000000003,3,Normal
1925-05-01,3020.345475408447,0.08557341515752778,0.17655458608426644,121,1924,8,213,31,,0.31999999999999995,2,Mod_Wet
1925-05-02,2746.9543839797047,0.10618427621102809,0.26,122,1924,8,214,31,,0.31999999999999995,2,Mod_Wet
1925-05-03,2898.5414560148247,0.09540062765544359,0.2116898122825346,123,1924,8,215,31,,0.31999999999999995,2,Mod_Wet
1925-05-04,2854.213176738876,0.09854875784666155,0.22338608561519557,124,1924,8,216,31,,0.31999999999999995,2,Mod_Wet
1925-05-05,2770.2912346092344,0.10452204732353257,0.25,125,1924,8,217,31,,0.31999999999999995,2,Mod_Wet
1925-05-06,2720.0673145518927,0.10809937881902332,0.27,126,1924,8,218,32,,0.31999999999999995,2,Mod_Wet
1925-05-07,2659.179098938934,0.11262278183273963,0.29,127,1924,8,219,32,,0.31999999999999995,2,Mod_Wet
1925-05-08,2585.139091801146,0.11830013491875303,0.31,128,1924,8,220,32,0.43999999999999995,0.31999999999999995,2,Mod_Wet
1925-05-09,2529.3164177492527,0.12340635004138374,0.33,129,1924,8,221,32,,0.31999999999999995,2,Mod_Wet
1925-05-10,2470.603090574261,0.1293490823539695,0.36,130,1924,8,222,32,,0.31999999999999995,2,Mod_Wet
1925-05-11,2424.221558495055,0.13436538255667424,0.39,131,1924,8,223,32,,0.43999999999999995,3,Normal
1925-05-12,2363.384691203105,0.14113943387186675,0.4210450493865546,132,1924,8,224,32,,0.43999999999999995,3,Normal
1925-05-13,2321.1377411638277,0.14633188973736935,0.44409575791279804,133,1924,8,225,33,,0.43999999999999995,3,Normal
1925-05-14,2291.2931984237584,0.15,0.46,134,1924,8,226,33,,0.43999999999999995,3,Normal
1925-05-15,2247.6936602612222,0.1546142424444379,0.48,135,1924,8,227,33,,0.43999999999999995,3,Normal
1925-05-16,2185.895265255013,0.16089032898759156,0.5046726600289242,136,1924,8,228,33,,0.43999999999999995,3,Normal
1925-05-17,2172.641743907072,0.16197201565153801,0.51,137,1924,8,229,33,,0.43999999999999995,3,Normal
1925-05-18,2083.023436473237,0.16928621732305785,0.54,138,1924,8,230,33,0.56,0.43999999999999995,3,Normal
1925-05-19,2030.4944665019214,0.17369288988720077,0.5670385244281777,139,1924,8,231,33,,0.43999999999999995,3,Normal
1925-05-20,1994.5344901318838,0.17672592758782266,0.5823460755000246,140,1924,8,232,34,,0.43999999999999995,3,Normal
1925-05-21,1955.594775719672,0.1800121871943021,0.5949683366289598,141,1924,8,233,34,,0.56,3,Normal
1925-05-22,1901.9468745569907,0.18537098863234172,0.616717875888356,142,1924,8,234,34,,0.56,3,Normal
1925-05-23,1855.6050297985278,0.19,0.63,143,1924,8,235,34,,0.56,3,Normal
1925-05-24,1811.7337417207764,0.19429031068010644,0.65,144,1924,8,236,34,,0.56,3,Normal
1925-05-25,1775.0304800420254,0.19787963760609076,0.6621171525847231,145,1924,8,237,34,,0.56,3,Normal
1925-05-26,1734.32616079843,0.20187072453857263,0.676166065188054,146,1924,8,238,34,,0.56,3,Normal
1925-05-27,1700.0138926209686,0.2052451398719615,0.6864769496831038,147,1924,8,239,35,,0.56,3,Normal
1925-05-28,1651.6647655158217,0.21,0.7049516032838015,148,1924,8,240,35,0.5700000000000001,0.56,3,Normal
1925-05-29,1621.90804405122,0.2136963491257615,0.72,149,1924,8,241,35,,0.56,3,Normal
1925-05-30,1590.1809585854141,0.21763745482734226,0.73,150,1924,8,242,35,,0.56,3,Normal
1925-05-31,1571.1617598413472,0.22,0.74,151,1924,8,243,35,,0.56,3,Normal
1925-06-01,1546.4488945183366,0.223786838872161,0.25,152,1924,9,244,35,,0.5700000000000001,3,Normal
1925-06-02,1527.5612662138162,0.22668105628206564,0.26,153,1924,9,245,35,,0.5700000000000001,3,Normal
1925-06-03,1505.9018790878047,0.23,0.27,154,1924,9,246,36,,0.5700000000000001,3,Normal
1925-06-04,1491.9776575734118,0.2316056023502368,0.28,155,1924,9,247,36,,0.5700000000000001,3,Normal
1925-06-05,1434.7436679228667,0.23820525520704863,0.3058581846529307,156,1924,9,248,36,,0.5700000000000001,3,Normal
1925-06-06,1379.0021279352986,0.24503227654772536,0.33,157,1924,9,249,36,,0.5700000000000001,3,Normal
1925-06-07,1364.0068604697406,0.24691047274030792,0.34,158,1924,9,250,36,,0.5700000000000001,3,Normal
1925-06-08,1322.6741428848202,0.2537791820380675,0.36,159,1924,9,251,36,0.54,0.5700000000000001,3,Normal
1925-06-09,1312.3813467248008,0.25611312814471565,0.37,160,1924,9,252,36,,0.5700000000000001,3,Normal
1925-06-10,1284.310881683387,0.2620048495691795,0.4,161,1924,9,253,37,,0.5700000000000001,3,Normal
1925-06-11,1245.6241254684805,0.2691015354072085,0.43,162,1924,9,254,37,,0.54,3,Normal
