1,2,3,4,5,6,7,8,9,10,11,12,exceedance
277.2,331.2,536,866.2,1672.8000000000004,3565.6000000000004,4154,2885.4000000000005,1609.4,790,479.8,338,0.2
275.42,326.26000000000005,531.63,862.4200000000001,1618.1900000000003,3484.850000000001,4128.88,2814.2900000000004,1576.7700000000002,772.4100000000002,471.8900000000001,337.21000000000004,0.21
275,316.41999999999996,526.3199999999999,858.88,1580.36,3410.84,4085.56,2788.4,1542.48,766.44,466.1,335.44,0.22
274.23,311.69,522.69,847.22,1498.8500000000004,3354.96,4031.88,2746.27,1529.6100000000001,756.76,461.92,334.23,0.23
274,308.71999999999997,518.96,839.4399999999999,1473.96,3327.04,4015.96,2730.44,1523.44,752.48,460.24,333.24,0.24
272.5,305.75,516.5,836.5,1465.5,3180.25,3793.75,2690,1498.75,745.25,459.25,330,0.25
272,301.3,508.6,824.9000000000001,1429.7000000000003,3128.56,3693.36,2675.52,1484.3400000000001,731.9000000000001,453.82000000000005,329,0.26
269.81,300,494.31999999999994,817.35,1391.7199999999998,3121.16,3556.249999999999,2674.27,1466.6699999999998,722.16,447.62,328.27,0.27
268.28,298.56,486.4,811.6800000000001,1346.72,3106.04,3482.36,2649.52,1455.96,714.24,446,328,0.28
267.28999999999996,294.44999999999993,483.58,786.5699999999997,1332.29,3013.669999999999,3459.22,2619.41,1449.03,709.87,441.73999999999995,327.28999999999996,0.29
266.3,293,482.3,766.5,1316.6,2956.2999999999997,3454,2590,1433.7,698.5,440,327,0.3
265.31,293,479.92999999999995,759.24,1267.2199999999993,2946.31,3438.8199999999997,2576.86,1426.62,687.7899999999998,437.92999999999995,323.54999999999995,0.31
265,292.32,478.32,755.96,1234.3999999999999,2920.16,3356.519999999999,2566.84,1423.96,682.28,430.19999999999993,318.59999999999997,0.32
264.33,291.33,470.63,754.33,1223.31,2851.72,3320.33,2545.58,1414.29,679.66,424.32,317,0.33
260.69999999999993,290.34,462.37999999999994,753.34,1219.02,2802.22,3318.68,2527.7599999999998,1404.7199999999998,673.06,423,315.02,0.34
259,288.70000000000005,460,751.7,1195.2500000000002,2789.7,3301.75,2516.5,1379.2500000000002,669.35,418.45000000000005,308.80000000000007,0.35
254.51999999999998,287.36,458.72,749.72,1171.48,2751.24,3293,2508.52,1364.44,665.16,415.36,302.8,0.36
250.74,287,451.7,745.85,1151.77,2681.49,3238.8199999999997,2484.58,1352.92,659.22,413.74,301,0.37
246.9,287,446.76,741.52,1134.7,2651.76,3197.7,2467.04,1340.18,654.52,412.38,299.76,0.38
243.78,285.17,445.39,735.73,1124.12,2644.9,3191.39,2456.07,1325.63,648.73,410.78,299,0.39
243,283.4,444.4,728.2,1116.2,2632,3184.4,2412.6,1308.2,643.6,410,297.8,0.4
242.41000000000003,281.82000000000005,440.46000000000004,725,1097.0700000000004,2625.41,3165.2500000000005,2384.05,1293.92,634.3300000000002,409.41,295.82000000000005,0.41
239.68000000000004,279.84000000000003,437.42,721.5200000000001,1083.1000000000001,2624.42,3088.880000000001,2382,1283.2,623.7800000000001,408.42,293.26000000000005,0.42
237.43,279,437,718.4300000000001,1076.44,2610.8900000000003,3041,2370.6000000000004,1276.15,618.86,406.29,292,0.43
236.44,278.44,433.08000000000004,711.84,1066.28,2578.6000000000004,3035.96,2339.6000000000004,1266.16,616.32,405,289.76,0.44
236,275.25,427.8,694.35,1058.25,2504.3500000000004,3031.45,2314.85,1260,614.45,404.45,288,0.45
234.38,270.84000000000003,420.06,684,1054.38,2437.48,3007.2400000000002,2309,1252.44,611.84,403.46,285.84000000000003,0.46
232.47,268.47,414.47,681.35,1043.46,2418.41,2976.9300000000003,2307.94,1229.0400000000002,603.1100000000001,398.76000000000005,283.47,0.47
231.48000000000002,266.96000000000004,414,677.44,1022.5200000000001,2398.8,2964.36,2300.76,1210.88,585.5600000000001,390.32000000000005,282.48,0.48
229.47,266,411.45,667.84,1009.98,2373.84,2954.37,2288.88,1204.43,575,386,281.49,0.49
227.5,265.5,408.5,656,1006.5,2356,2947.5,2277.5,1201,574,381.5,281,0.5
226.01999999999998,265,407.51,649.55,994.6899999999999,2330.81,2940.63,2253.38,1192.67,569.0799999999999,375.53,279.03999999999996,0.51
224.04,263.56,406.52,643.16,983.56,2305.88,2919.12,2222.96,1183.04,553.4799999999999,373.03999999999996,275.56,0.52
223,262,405.06,639,979.65,2291.77,2900.65,2202.54,1179.18,540.06,370.12,273.53,0.53
222.54,261.54,404,637.62,970.56,2271.36,2892.48,2191.62,1168.6399999999999,538.54,364.78,272.54,0.54
221.55,260.55,402.65,636,962.55,2207.9999999999995,2869.35,2165.25,1146.9499999999998,535.75,359.65,271.55,0.55
220.12,258.24,399.68,635.12,951.8799999999999,2133.64,2812.9199999999996,2090.9999999999995,1125.72,533,357.12,269.24,0.56
218.14000000000001,255.14000000000001,398,633.14,938.57,2106.42,2765.28,2030.7,1104.8100000000002,532.14,355.14,265.71000000000004,0.57
216.16000000000003,251.90000000000003,397.16,631.58,935.48,2097.12,2753.76,2020.38,1083.06,530.16,354,264,0.58
213.77,247.36,395.59000000000003,630.59,922.1600000000001,2088.18,2730.34,2001.2900000000002,1074.49,527.77,353.18,264,0.59
212,244.6,393.8,629.2,908,2083.8,2669.8,1979.4,1065.2,524.8,349.6,262,0.6
211.61,243.22,392,626.83,907.22,2020.8899999999999,2594.2,1966.59,1059.05,520.27,346,259,0.61
211,240.48,387.43999999999994,623.1,904.48,1925.44,2581.62,1951.58,1056,515.62,344.48,258.62,0.62
211,238,379.63,619.26,899.78,1893.5800000000002,2572.12,1934.9,1055.26,514.63,342,255.78000000000003,0.63
211,238,378.64,618,892.76,1825.72,2517.4,1903.76,1047.16,510.4,340.2,252,0.64
211,237.3,377.65,618,882.1,1720.8999999999999,2427.4,1875.35,1030.8,503.65,337,251.65,0.65
209.64,235.32,376.65999999999997,616.3,870.96,1581.0399999999997,2369.9199999999996,1842.9399999999998,1022.3199999999999,501.98,337,250.32,0.66
207,233.67,375.67,609.6999999999999,866.34,1513.06,2326.69,1800.37,1017.3699999999999,499.34,336.67,248.67,0.67
207,232.04,372.76,601.4,864.36,1498.76,2316.24,1782.4399999999998,1008.72,493.19999999999993,335.68,247.68,0.68
206.69,230,367.07,595.52,860.83,1459.2800000000007,2280.7500000000005,1752.2500000000002,1000.4200000000001,482.69,334.69,247,0.69
206,228.8,363.20000000000005,587.9,855.4,1360.7000000000003,2225.7,1724.8000000000002,977.2,482,332.5,246.7,0.7
205.42000000000002,225.13000000000002,358.71,581.26,853.42,1294.7600000000002,2206.11,1694.91,951.13,480.84000000000003,328.42,244.55,0.71
203.72,222.72,357.16,576.72,848.9200000000001,1255,2145.36,1679.72,947.88,476.04,325.32,241,0.72
203,222,354.19,575.19,840.46,1253.11,2037.54,1677.11,935.82,468.3,320.73,240.73,0.73
202.74,221.48000000000002,351.22,571.44,838.74,1233.96,1950.66,1671.22,902.4200000000001,460.74,319.48,239.74,0.74
201.5,219.75,348.25,565.75,837.5,1193,1897.5,1667.75,875.5,459.75,317.5,238,0.75
199.76,219,345.76,562,835.04,1184.72,1861.32,1660.6399999999999,866.8,456.35999999999996,315.76,234.76,0.76
198.77,218.54,345,560.85,831.08,1166.16,1819.75,1634.36,862.31,447.31,314.54,233.77,0.77
198,216.34,344.78,555.68,825.14,1158.02,1738.6799999999998,1575.3999999999999,856.92,444.34,311.68,232.78,0.78
197.79,214,343.79,551,806.3899999999999,1145.54,1650.12,1534.7799999999997,844.53,440.95,307,231.79,0.79
196.8,214,342.4,550.8,772.4,1123.4,1623.3999999999999,1462,838,436.6,307,230.8,0.8
195.62,213.81,339.81,548.0999999999999,764.48,1114.34,1596.6399999999999,1428.48,824.8799999999998,435,305.66999999999996,229.81,0.81
194,212.82,338.28000000000003,538.38,757.64,1095.2600000000002,1555.6000000000001,1419.3,783.48,434.64,299.82,228.10000000000002,0.82
193.32000000000002,211.83,332.62000000000006,531,754.3000000000001,1057.79,1519.1000000000004,1391.0200000000004,769.45,429.60000000000014,299,223.83,0.83
189.68,211,320.68,530.6800000000001,745.6800000000001,1039.64,1449.1600000000003,1310.28,756.36,412.52,298.84000000000003,222.68,0.84
187.85,210.4,318.7,527.2,743.85,998.75,1385.8,1292.55,750.75,409.4,296.65000000000003,221,0.85
186.86,206.72,316.58,516.3,742.72,984.1800000000001,1369.9,1266.8400000000001,733.52,405.44,288.3,220.72,0.86
185.61,205,313.61,511.22,740.61,968.45,1308.54,1217.8200000000002,700.9300000000001,401.74,283.87,219,0.87
181.92,204.88,310.64,505.03999999999996,737.04,936.56,1270.56,1142.64,666.4,399.64,282.88,218.88,0.88
173.78,203.67,307.89,497.23,728.9,924.79,1259.78,1138.9,661.78,394.90999999999997,281.78,217.67,0.89
171.9,200.8,307,490.2,718.5,914.8,1252.1999999999998,1115.6999999999998,659.8,377.5,280,214.9,0.9
170.91,198.73,306.73,481.73999999999995,704.73,912.55,1196.9399999999998,986.46,653.5899999999998,372.37,279.73,213.91,0.91
169.84,195.92,303.52,468.76,701.68,905.5199999999999,1159.9999999999998,980.68,606.5999999999999,364.7199999999999,275.96,212.27999999999997,0.92
167.85999999999999,194.43999999999997,297.51,465.71999999999997,695.8999999999999,876.37,1090.58,976.79,571.9999999999995,348.80999999999995,263.86,203.79,0.93
165.76000000000002,186.58000000000004,290.88,461.64000000000004,667.52,866.4400000000002,1079.4800000000005,965.1800000000007,478.1000000000001,332.94,261.46000000000004,200.82000000000002,0.94
161.65000000000003,179.50000000000006,288.3500000000001,454.7000000000001,659.7,839.2000000000003,989.2000000000004,825.2000000000002,463.65000000000003,331.65000000000003,252.65000000000003,197.8,0.95
154.60000000000002,170,275.84000000000003,429.52000000000004,653.72,784.9200000000001,915.6800000000001,790.2800000000001,455.40000000000015,324.96,245.8,193.8,0.96
144.91,169.85000000000002,270.8300000000001,417.97,643.8200000000003,758.52,883.4000000000001,772.64,415.3800000000001,322.5600000000001,240.55000000000004,188.76000000000002,0.97
141.9,164.8,233,416.12000000000006,539.5800000000002,741.4600000000002,862.6400000000001,760.5400000000001,362.70000000000005,275.54,225.56000000000003,180.52000000000004,0.98
136.97,154.98,232.97,372.59000000000003,469.93,665.52,794.7400000000001,737.78,347.8,252.9,203.95000000000002,156.95000000000002,0.99
134,153,230,332,463,618,670,716,328,243,199,152,1
