waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
2012,365,874.7,192.8,25.3,99.85,1344,221.3,3649,42.4,5.41,19.7,0.246,0.0552,0.508,0,0,0,0,0,0,0.555,0.43,0.085,0.17,0.31,0,0,0,22.7,0.13,0.46,0.54,20.6,0.44886363636363613,0.011213872832369996,0.21489971346704873,0.21081081081081082
2013,365,960.6,192.8,0,109.7,1347,198.1,3614,42.5,5.96,21.2,0.234,0.0566,0.49,0,10,0,0,0.027,0,0.609,0.45,0.14,0.16,0.24,0,10,0.0273972602739726,21.3,0.14,0.5,0.5,22.6,0.09787535410764872,0.11052023121387286,0.21776504297994273,0.21351351351351353
2014,365,915,192.8,25.84,104.4,704.1,207.1,1466,22.2,4.44,17.2,0.272,0.1,0.545,0,0,0,0,0,0,0.58,0.33,0.13,0.19,0.35,0,0,0,5,0.2,0.77,0.23,41.2,0.251315789473684,0.057803468208092484,-0.3638968481375358,-0.36567567567567566
2015,366,816.5,192.8,22.42,92.95,1020,174.9,2994,32.2,4.73,17.2,0.246,0.0673,0.498,0,0,0,0,0,0,0.518,0.34,0.099,0.19,0.38,0,0,0,15,0.15,0.53,0.47,25.4,0.7990099009900988,-0.05606936416184971,-0.07736389684813742,-0.08108108108108109
2016,365,879.1,192.8,0,100.4,1087,155.5,3913,34.3,4.88,18.6,0.24,0.047,0.482,0,1,0,0,0.0027,0,0.558,0.43,0.049,0.18,0.34,0,1,0.0027397260273972603,15.7,0.14,0.54,0.46,25.6,0.39956140350877184,0.016300578034682107,-0.01719197707736394,-0.02072072072072072
2017,365,873.6,192.8,21.74,99.73,1614,171.9,4829,50.9,6.01,20.7,0.223,0.0556,0.559,0,0,0,0,0,0,0.554,0.46,0.099,0.19,0.26,0,0,0,30.2,0.12,0.41,0.59,17.2,0.4621951219512195,0.009942196531791934,0.4584527220630373,0.4540540540540541
2018,365,739.1,182.4,0,84.37,516.7,156.7,1092,16.3,3.21,13.1,0.251,0.108,0.529,0,10,0,0,0.027,0,0.469,0.14,0.23,0.22,0.41,0,10,0.0273972602739726,3.2,0.2,0.8,0.2,45.3,0.9322635135135134,-0.14554913294797686,-0.5329512893982807,-0.5345045045045045
2019,366,836.1,192.8,17.07,95.19,1381,128.1,4670,43.7,5.42,18.9,0.22,0.0544,0.444,0,0,0,0,0,0,0.53,0.37,0.13,0.25,0.25,0,0,0,24.8,0.12,0.43,0.57,19.1,0.705504587155963,-0.03341040462427743,0.2521489971346706,0.24414414414414415
2020,365,942.3,192.8,34.24,107.6,1356,260.1,3732,42.8,5.96,20.8,0.236,0.051,0.471,0,0,0,0,0,0,0.598,0.45,0.099,0.21,0.24,0,0,0,22,0.14,0.49,0.51,22,0.14565217391304372,0.08936416184971092,0.2263610315186246,0.22162162162162163
2021,365,916.3,192.8,32.43,104.6,1087,263.5,3102,34.3,5.49,19.1,0.252,0.0704,0.532,0,0,0,0,0,0,0.581,0.38,0.14,0.16,0.32,0,0,0,15.2,0.16,0.56,0.44,26.7,0.2453703703703704,0.05930635838150284,-0.01719197707736394,-0.02072072072072072
2022,365,939.6,192.8,28.86,107.3,1152,228.8,2768,36.3,5.43,19.9,0.247,0.0618,0.519,0,0,0,0,0,0,0.596,0.43,0.082,0.2,0.28,0,0,0,16.4,0.15,0.55,0.45,25.9,0.1537671232876713,0.08624277456647401,0.04011461318051572,0.03783783783783784
2023,366,717.8,144.6,28.35,81.72,507.6,217.9,875.5,16.1,3.72,12.3,0.272,0.138,0.462,0,0,0,0,0,0,0.455,0,0.44,0.2,0.36,0,0,0,3.8,0.23,0.76,0.24,44.6,0.9500736738703339,-0.17017341040462433,-0.5386819484240687,-0.5427027027027027
